,City,tweet_created_at,hashtags,text,screen_name,user_id,user_created_at,user_friends_count,user_statuses_count,tweet_id,compound,neg,pos,neu
5397,Santa Barbara,Tue Dec 19 23:24:51 +0000 2017,"[{'text': 'Thomasfire', 'indices': [50, 61]}, {'text': 'foodsystems', 'indices': [62, 74]}, {'text': 'SoCalFires', 'indices': [75, 86]}, {'text': 'agriculture', 'indices': [87, 99]}]",How local farmers are coping with the devastating #Thomasfire #foodsystems #SoCalFires #agriculture @scoopit https://t.co/rdqpPfcbya,RestoringNOLA,1150572344,Tue Feb 05 10:25:09 +0000 2013,252,7428,943260871547113472,-0.6486,0.249,0.0,0.751
5398,Santa Barbara,Tue Dec 19 23:24:41 +0000 2017,[],I'd love to do portraits for anyone who lost their home due to the Thomas Fire and would love some new wall art.... https://t.co/DCeLyaJlSc,chelseaelizabet,14203512,Sun Mar 23 20:28:22 +0000 2008,252,2102,943260831034347520,0.6908,0.142,0.254,0.604
5399,Santa Barbara,Tue Dec 19 23:24:33 +0000 2017,"[{'text': 'ThomasFire', 'indices': [17, 28]}]","RT @EliasonMike: #ThomasFire- With the latest Star Wars movie playing, The Arlington Theatre’s marquee in Santa Barbara has an extra specia…",CarlinWalter,64244711,Sun Aug 09 20:18:45 +0000 2009,82,9002,943260795852414976,-0.4215,0.148,0.074,0.779
5400,Santa Barbara,Tue Dec 19 23:23:45 +0000 2017,[],RT @EARTH3R: We need to start preparing for more wildfires ASAP https://t.co/bgs4IGjFjC https://t.co/ouDZh231Hq,DebtTrut,251927949,Mon Feb 14 03:43:22 +0000 2011,8972,184684,943260594605559809,0.0,0.0,0.0,1.0
5401,Santa Barbara,Tue Dec 19 23:23:28 +0000 2017,[],RT @JosephSerna: Gusty winds expected to return this week as Thomas fire continues to grow https://t.co/kn6NZXXqnr @haileybranson @nicolesa…,barbc9988,834891202809978881,Thu Feb 23 22:22:29 +0000 2017,112,23274,943260524367826944,-0.34,0.124,0.0,0.876
5402,Santa Barbara,Tue Dec 19 23:23:10 +0000 2017,[],Eindhoven Weather - Firefighters got a temporary reprieve from the winds that have turned the Thomas fire into the… https://t.co/UUDf6WgYtD,wxeindhoven,99875158,Mon Dec 28 05:54:29 +0000 2009,0,44827,943260448262164481,-0.34,0.124,0.0,0.876
5403,Santa Barbara,Tue Dec 19 23:22:47 +0000 2017,[],RT @EARTH3R: We need to start preparing for more wildfires ASAP https://t.co/bgs4IGjFjC https://t.co/ouDZh231Hq,GravityDynamic,368760126,Tue Sep 06 05:31:09 +0000 2011,10466,90833,943260351839092736,0.0,0.0,0.0,1.0
5404,Santa Barbara,Tue Dec 19 23:22:21 +0000 2017,[],RT @Dermalogicajane: Thank you to the incredible fire fighters battling the Thomas fire and standing in our driveways in Montecito. We will…,RegentSkinSpa1,371493531,Sat Sep 10 23:48:24 +0000 2011,217,2716,943260242388938753,-0.5574,0.293,0.091,0.616
5405,Santa Barbara,Tue Dec 19 23:21:34 +0000 2017,[],"RT @NBCNews: NEW: Thomas Fire, California's 3rd largest wildfire, now at 271,000 acres and 50% containment. https://t.co/PQwHregroD",CCME_com,839856929950281729,Thu Mar 09 15:14:30 +0000 2017,267,462,943260045453742080,-0.34,0.13,0.0,0.87
5406,Santa Barbara,Tue Dec 19 23:21:08 +0000 2017,[],RT @latimes: Gusty winds expected to return this week as Thomas fire continues to grow https://t.co/iHIXv6Up3B https://t.co/fjzYQgm15S,timegeek,53890855,Sun Jul 05 11:20:51 +0000 2009,384,102032,943259935084830721,-0.34,0.13,0.0,0.87
