,State,ZIP_Code,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value ($) for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Lat,Lng,City,county
81,California,90232,14810.0,6899.0,7911.0,41.3,14810.0,1342.0,9.061444969615126,80222.0,48212.0,485.0,3.274814314652262,6811.0,1958.0,789400.0,10088.0,994.0,7.0,2392.0,571.0,34.0236878,-118.3900204,Culver City,Los Angeles County
82,California,90240,26426.0,12725.0,13701.0,35.2,26426.0,1443.0,5.460531294936804,76748.0,28512.0,782.0,2.9592068417467647,7605.0,1957.0,487800.0,18427.0,581.0,45.0,2439.0,4239.0,33.9574105,-118.1210458,Downey,Los Angeles County
83,California,90241,44815.0,21967.0,22848.0,34.8,44815.0,4943.0,11.029789133102756,61151.0,24831.0,1701.0,3.795604150396073,14049.0,1959.0,465400.0,30438.0,1183.0,86.0,2979.0,8520.0,33.9372725,-118.1298234,Downey,Los Angeles County
84,California,90242,41982.0,20116.0,21866.0,32.7,41982.0,5984.0,14.253727788099662,60732.0,21320.0,1467.0,3.494354723452908,12589.0,1959.0,412600.0,25608.0,2516.0,159.0,2662.0,9926.0,33.9167378,-118.1298234,Downey,Los Angeles County
85,California,90245,16901.0,8367.0,8534.0,39.0,16901.0,1389.0,8.218448612508135,91623.0,47749.0,714.0,4.224602094550618,7154.0,1960.0,828300.0,13448.0,286.0,82.0,1259.0,427.0,33.9150066,-118.4046264,El Segundo,Los Angeles County
86,California,90247,47706.0,22695.0,25011.0,37.3,47706.0,9134.0,19.14643860311072,44824.0,21598.0,2198.0,4.607386911499602,16721.0,1964.0,367100.0,11745.0,9213.0,164.0,11874.0,13062.0,33.8863314,-118.2935891,Gardena,Los Angeles County
87,California,90248,10592.0,5260.0,5332.0,43.8,10592.0,1298.0,12.25453172205438,55368.0,25429.0,407.0,3.842522658610272,3635.0,1963.0,379600.0,3365.0,1767.0,21.0,3414.0,1692.0,33.8658064,-118.2935891,Gardena,Los Angeles County
88,California,90249,26795.0,12552.0,14243.0,39.3,26795.0,3436.0,12.823287926852025,53783.0,24791.0,1095.0,4.086583317783169,9007.0,1956.0,386600.0,6588.0,7641.0,368.0,4351.0,6137.0,33.901022,-118.3169714,Gardena,Los Angeles County
89,California,90250,96987.0,47895.0,49092.0,32.5,96987.0,18007.0,18.56640580696382,47076.0,22034.0,4794.0,4.942930495839649,33367.0,1965.0,432600.0,35999.0,20834.0,465.0,6744.0,22996.0,33.9127807,-118.3520389,Hawthorne,Los Angeles County
90,California,90254,19726.0,9987.0,9739.0,38.3,19726.0,912.0,4.623339754638548,121345.0,87379.0,509.0,2.580350806042786,10326.0,1968.0,1166800.0,17336.0,262.0,171.0,927.0,199.0,33.8600693,-118.3987842,Hermosa Beach,Los Angeles County
